-0.0013991 -0.015905 -0.018166 -0.0095768 -0.0017735 -0.0071844 -0.0078345 -0.017504 0.0046798 -0.019486
-0.0017082 -0.016044 -0.018642 -0.0088504 -0.0032364 -0.0062446 -0.0064814 -0.016935 0.0036688 -0.017992
-0.0021268 -0.016119 -0.019392 -0.0075446 -0.0054565 -0.004486 -0.0046312 -0.01617 0.0026392 -0.015652
-0.0024342 -0.01601 -0.020255 -0.0062993 -0.0078347 -0.0024806 -0.0028582 -0.01552 0.0025364 -0.013095
-0.0025902 -0.01551 -0.021239 -0.0058938 -0.010037 -0.0012307 -0.0013172 -0.015467 0.0047026 -0.011809
-0.0027811 -0.015177 -0.021211 -0.0048468 -0.011947 0.00048745 -0.00031378 -0.017 0.0061079 -0.010307
-0.0028727 -0.014779 -0.020648 -0.0037874 -0.013655 0.0019586 0.00085194 -0.019743 0.0078926 -0.0090236
-0.003053 -0.014157 -0.020057 -0.0038703 -0.013735 0.0023932 0.0023554 -0.022037 0.0094873 -0.0075544
-0.0030348 -0.013646 -0.019984 -0.006063 -0.012373 0.00022121 0.0035326 -0.020944 0.011021 -0.0078837
0.0015564 -0.0082326 -0.014301 -0.00075569 -0.014125 0.0056605 -0.0016376 -0.038775 0.0088514 0.010585
0.0018267 -0.0080314 -0.014141 -0.0016541 -0.012311 0.0056002 -0.0049056 -0.041872 0.0096716 0.0099113
0.0021916 -0.0076395 -0.013501 -0.0027969 -0.0097085 0.0069311 -0.0057668 -0.044822 0.0099129 0.011137
0.002823 -0.0073086 -0.012904 -0.0046309 -0.0069246 0.0081582 -0.0043888 -0.046418 0.0096791 0.012537
0.0036877 -0.007285 -0.012663 -0.0078518 -0.0035685 0.0075265 -0.00070521 -0.045139 0.0084907 0.011863
0.0046793 -0.0068889 -0.011744 -0.0091289 -0.001148 0.0070826 0.00079272 -0.041731 0.0066055 0.011579
0.0055998 -0.0064423 -0.010896 -0.0087753 -0.00026612 0.0061752 0.00057539 -0.037663 0.0049993 0.010518
0.0063391 -0.0061 -0.010476 -0.0073742 -0.00079587 0.0045173 -0.00043754 -0.033464 0.0035542 0.0086161
0.0069016 -0.0058269 -0.010723 -0.0053055 -0.0020238 0.0019899 -0.0012873 -0.029223 0.0018865 0.0070313
0.0072223 -0.0057523 -0.011188 -0.0032293 -0.004251 -0.00044023 -0.0013568 -0.025732 0.0012771 0.0061222
0.0073798 -0.0056078 -0.011898 -0.0014747 -0.0067993 -0.0026836 -0.00057685 -0.022665 0.0012297 0.0057848
0.0074444 -0.0052794 -0.012585 -0.00020906 -0.0089311 -0.0046505 0.0011905 -0.01978 0.0016744 0.0059922
0.0074818 -0.0047809 -0.012809 0.00044958 -0.010086 -0.0062874 0.0038739 -0.017076 0.0032479 0.0066193
0.0073992 -0.004207 -0.012812 0.00053888 -0.010258 -0.0087186 0.0063753 -0.01515 0.0054115 0.0063904
0.0073055 -0.0034781 -0.012479 0.00021173 -0.0093953 -0.011258 0.0083056 -0.013439 0.0068903 0.0055808
0.0072866 -0.0027743 -0.011746 -0.00034904 -0.008073 -0.013247 0.0094679 -0.011598 0.0067094 0.0046393
0.007363 -0.0024338 -0.010686 -0.0010099 -0.0072036 -0.013979 0.010142 -0.0096657 0.0044312 0.004227
0.0075019 -0.0023694 -0.0092999 -0.0012984 -0.0062365 -0.014015 0.011468 -0.0080121 0.002093 0.0043604
0.0076922 -0.0023125 -0.0076152 -0.0013887 -0.0049727 -0.013314 0.013109 -0.0064327 0.00053111 0.0048313
0.0079044 -0.0021365 -0.0058476 -0.0016514 -0.0034998 -0.012096 0.014226 -0.0050963 -0.00060177 0.0049753
0.0080702 -0.0020478 -0.0045234 -0.0025748 -0.0023171 -0.011002 0.013997 -0.0045446 -0.0018267 0.0038401
