0.57295 0.23166 1.5897 2.9275 0.052968 0.35939 0.81656 1.2443 0.33858
0.58856 0.34223 2.7954 8.2689 0.097398 0.75559 3.5996 0.13496 0.2264
0.11877 0.023156 0.020362 0.55763 0.015804 0.097205 0.82423 0.12525 0.075806
0.074917 0.11289 0.74696 1.7115 0.017159 0.014596 1.3451 0.55338 0.020054
0.14124 0.19306 0.74822 2.8713 0.050745 0.1309 0.38412 0.29417 0.058975
0.066991 0.019834 0.04415 0.007056 0.0006777 0.038005 0.085099 0.034461 0.0091619
0.10038 0.0039203 0.17162 0.018978 0.00062348 0.21879 0.82973 0.0015038 0.31849
0.012079 0.18336 0.2456 0.57605 0.01781 0.15008 0.96662 0.002005 0.0283
0.064096 0.0041196 0.0019716 0.00069518 0.002765 0.0017081 0.10441 0.57494 0.0002036
0.19457 0.058339 0.32883 1.0095 0.012198 0.040489 0.1294 0.06109 0.037598
0.11227 0.0018937 0.0067227 0.5625 0.0018162 0.012655 0.031429 0.042544 0.010825
0.22323 0.036379 0.1809 0.6999 0.0033342 0.073642 0.47378 0.01297 0.025246
0.012601 0.0058472 0.66632 0.65506 0.037056 0.010404 0.26438 0.13972 0.11235
0.056004 0.039834 0.39173 0.40452 0.045351 0.10695 0.19208 0.09787 0.088056
0.042193 0.053522 1.2389 3.2366 0.02727 0.3613 1.2127 0.023058 0.21069
0.0086379 0.01309 0.29037 6.6875 0.040689 0.32725 1.2029 0.081203 0.085884
0.24134 0.12176 0.48129 1.8039 0.037842 0.24356 0.95194 0.19981 0.15972
0.10769 0.24459 1.0203 4.7625 0.072079 0.23214 0.23931 0.12926 0.085545
0.090318 0.096877 0.99693 3.9101 0.061074 0.5097 0.55005 0.11949 0.28673
0.1243 0.084817 0.52583 3.1128 0.032664 0.35644 0.36817 0.084962 0.11703
0.63863 0.25096 2.5759 3.098 0.070724 0.32139 0.70199 0.42769 0.14605
0.48332 0.15777 1.5068 3.5754 0.15316 0.53315 0.74738 0.17118 0.23617
0.46633 0.11116 2.51 8.0132 0.37612 0.704 2.8815 0.38196 0.14184
0.021998 0.059369 0.17453 0.16288 0.13483 0.67748 1.4809 0.32769 0.2832
1.0503 0.11561 1.1367 3.4388 0.17409 0.61223 2.0386 0.9495 0.60591
